allergy,base,brand,calorie_calculator,category,default_dressing,description,id,image_url,name_en,name_ko,nutrition,nutrition_pdf,tags,toppings_text,url,vegetables
[],채소,salady,"{""name"": ""탄단지 샐러디"", ""base_kcal"": 322.9, ""addon_kcal"": {""vegetable"": 4.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",,오리엔탈,,42,https://salady.com:443/superboard/data/product/thumb/2038866161_1R5LcnQb_1a5d9c99566a0e4a69ba66f9c02c202db77d1ac6.png,,탄단지 샐러디,"{""메뉴"": ""탄단지 샐러디"", ""열량(kcal)"": ""322.9"", ""탄수화물(g)"": ""34.3"", ""당류(g)"": ""17.6"", ""단백질(g)"": ""17.9"", ""지방(g)"": ""13.1"", ""포화지방(g)"": ""2.0"", ""나트륨(mg)"": ""225.3""}","{""메뉴"": ""탄단지 샐러디"", ""열량(kcal)"": ""322.9"", ""탄수화물(g)"": ""34.3"", ""당류(g)"": ""17.6"", ""단백질(g)"": ""17.9"", ""지방(g)"": ""13.1"", ""포화지방(g)"": ""2.0"", ""나트륨(mg)"": ""225.3""}",[],"닭가슴살, 크랜베리, 스윗포테이토, 견과류",https://salady.com/menu/view_1?idx=42&ca_id=01,"[{""name"": ""로메인"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2022052409362216533525826974.jpg""}, {""name"": ""프릴아이스"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2023050914224216836097629221.jpeg""}, {""name"": ""카이피라"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2023050914270616836100266288.png""}, {""name"": ""적채"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2026050710511217781186725711.png""}]"
[],"곡물, 채소",salady,"{""name"": ""로스트삼겹 포케볼"", ""base_kcal"": 563.4, ""addon_kcal"": {""vegetable"": 4.0, ""grain"": 158.1, ""buckwheat"": 67.9, ""noodles"": 100.05}}",,고추장비빔,,114,https://salady.com:443/superboard/data/product/thumb/2038866161_mgeCz9DV_24edbfbec88ef80b73fe060a1ea5a954366acbd5.png,,로스트삼겹 포케볼,"{""메뉴"": ""로스트삼겹 포케볼"", ""열량(kcal)"": ""563.4"", ""탄수화물(g)"": ""65.0"", ""당류(g)"": ""4.6"", ""단백질(g)"": ""18.7"", ""지방(g)"": ""26.1"", ""포화지방(g)"": ""7.7"", ""나트륨(mg)"": ""215.3""}","{""메뉴"": ""로스트삼겹 포케볼"", ""열량(kcal)"": ""563.4"", ""탄수화물(g)"": ""65.0"", ""당류(g)"": ""4.6"", ""단백질(g)"": ""18.7"", ""지방(g)"": ""26.1"", ""포화지방(g)"": ""7.7"", ""나트륨(mg)"": ""215.3""}",[],"로스트삼겹, 머쉬룸, 옥수수, 양파, 양파플레이크, 후리가케, 적채",https://salady.com/menu/view_1?idx=114&ca_id=02,"[{""name"": ""귀리"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2022052409342716533524674305.jpg""}, {""name"": ""찹쌀"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2022052409372716533526479982.jpg""}, {""name"": ""찰보리"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2022052409380516533526852457.jpg""}, {""name"": ""로메인"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2022052409362216533525826974.jpg""}, {""name"": ""프릴아이스"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2023050914224216836097629221.jpeg""}, {""name"": ""카이피라"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2023050914270616836100266288.png""}, {""name"": ""적채"", ""image_url"": ""https://salady.com:443/superboard/data/topping/2026050710511217781186725711.png""}]"
